ENCODEURL|dZjWi|SC_OPCODE_ENCODEURL|Return a URL-encoded string.|avFqs|HID_FUNC_ENCODEURL||
NETWORKDAYS|BaoGy|SC_OPCODE_NETWORKDAYS|Returns the number of workdays between two dates using arguments to indicate weekenddays and holidays.|rkTvZ|HID_FUNC_NETWORKDAYS||
WEEKDAY|BwaWE|SC_OPCODE_GET_DAY_OF_WEEK|Returns the day of the week for the date value as an integer.|YnpJB|HID_FUNC_WOCHENTAG|Returns the day of the week for the given date value. The day is returned as an integer between 1 (Sunday) and 7 (Saturday) if no type or type=1 is specified. If type=2, numbering begins at Monday=1; and if type=3 numbering begins at Monday=0.|
EASTERSUNDAY|fALre|SC_OPCODE_EASTERSUNDAY|Calculates the date of Easter Sunday in a given year.|oeEyF|HID_FUNC_OSTERSONNTAG|Returns the date of Easter Sunday for the entered year.|
WEEKNUM|sA2od|SC_OPCODE_WEEK|Calculates the calendar week corresponding to the given date.|mw3Yx|HID_FUNC_KALENDERWOCHE|WEEKNUM calculates the week number of the year for the internal date value.The International Standard ISO 8601 has decreed that Monday shall be the first day of the week. A week that lies partly in one year and partly in another is assigned a number in the year in which most of its days lie. That means that week number 1 of any year is the week that contains the January 4th.|
BETA.INV|wk5hq|SC_OPCODE_BETA_INV_MS|Values of the inverse beta distribution.|E4CCH|HID_FUNC_BETAINV_MS|Returns the inverse of the cumulative beta probability density function.|
BETA.DIST|GyF23|SC_OPCODE_BETA_DIST_MS|Values of the beta distribution.|3oQqD|HID_FUNC_BETADIST_MS|Returns the beta function.|
BETAINV|ghE3x|SC_OPCODE_BETA_INV|Values of the inverse beta distribution.|6jg9G|HID_FUNC_BETAINV|Returns the inverse of the cumulative beta probability density function.|
BETADIST|4B235|SC_OPCODE_BETA_DIST|Values of the beta distribution.|GNCGW|HID_FUNC_BETAVERT|Returns the beta function.|
LOGNORM.INV|WuxET|SC_OPCODE_LOG_INV_MS|Values of the inverse of the lognormal distribution.|rd23p|HID_FUNC_LOGINV|Returns the inverse of the lognormal distribution.|
LOGINV|cSnD5|SC_OPCODE_LOG_INV|Values of the inverse of the lognormal distribution.|YCEDF|HID_FUNC_LOGINV|Returns the inverse of the lognormal distribution.|
CHISQ.TEST|zKBMf|SC_OPCODE_CHI_TEST_MS|Returns the chi square independence test.|DJkay|HID_FUNC_CHITEST_MS|Returns the probability of a deviance from a random distribution of two test series based on the chi-squared test for independence. CHISQ.TEST returns the chi-squared distribution of the data.The probability determined by CHISQ.TEST can also be determined with CHISQ.DIST, in which case the Chi square of the random sample must then be passed as a parameter instead of the data row.|
CHITEST|XH5Lk|SC_OPCODE_CHI_TEST|Returns the chi square independence test.|52UVi|HID_FUNC_CHITEST|Returns the probability of a deviance from a random distribution of two test series based on the chi-squared test for independence. CHITEST returns the chi-squared distribution of the data.The probability determined by CHITEST can also be determined with CHIDIST, in which case the Chi square of the random sample must then be passed as a parameter instead of the data row.|
F.INV.RT|GDWRs|SC_OPCODE_F_INV_RT|Values of the inverse right tail F distribution.|RuPGx|HID_FUNC_F_INV_RT|Returns the inverse right tail of the F distribution.|
F.INV|D5h4W|SC_OPCODE_F_INV_LT|Values of the inverse left tail F distribution.|hanKj|HID_FUNC_F_INV_LT|Returns the inverse of the cumulative F distribution. The F distribution is used for F tests in order to set the relation between two differing data sets.|
FINV|KpTGm|SC_OPCODE_F_INV|Values of the inverse F distribution.|CpWtd|HID_FUNC_FINV|Returns the inverse of the F probability distribution. The F distribution is used for F tests in order to set the relation between two differing data sets.|
T.INV|SSVFA|SC_OPCODE_T_INV_MS|Values of the left-tailed inverse t-distribution.|DYoug|HID_FUNC_TINV_MS|Returns the one tailed inverse of the t-distribution.|
T.INV.2T|23BxN|SC_OPCODE_T_INV_2T|Values of the two-tailed inverse t-distribution.|5qFNi|HID_FUNC_TINV_2T|Calculates the inverse of the two-tailed Student's T Distribution , which is a continuous probability distribution that is frequently used for testing hypotheses on small sample data sets.|
TINV|DjcC6|SC_OPCODE_T_INV|Values of the inverse t-distribution.|B7LDX|HID_FUNC_TINV|Returns the inverse of the t-distribution.|
GAMMA.INV|mAyMR|SC_OPCODE_GAMMA_INV_MS|Values of the inverse gamma distribution.|A4Vt8|HID_FUNC_GAMMAINV_MS|Returns the inverse of the Gamma cumulative distribution GAMMADIST. This function allows you to search for variables with different distribution.This function is identical to GAMMAINV and was introduced for interoperability with other office suites.|
GAMMAINV|AweKA|SC_OPCODE_GAMMA_INV|Values of the inverse gamma distribution.|3LLhe|HID_FUNC_GAMMAINV|Returns the inverse of the Gamma cumulative distribution GAMMADIST. This function allows you to search for variables with different distribution.|
GAMMA.DIST|DqBcB|SC_OPCODE_GAMMA_DIST_MS|Returns the value of the probability density function or the cumulative distribution function for the Gamma distribution.|LGjCq|HID_FUNC_GAMMADIST_MS|Returns the values of a Gamma distribution.The inverse function is GAMMAINV or GAMMA.INV.This function is identical to GAMMADIST and was introduced for interoperability with other office suites.|
GAMMADIST|dvuum|SC_OPCODE_GAMMA_DIST|Returns the value of the probability density function or the cumulative distribution function for the Gamma distribution.|UnLUe|HID_FUNC_GAMMAVERT|Returns the values of a Gamma distribution.The inverse function is GAMMAINV.|
CHISQ.INV.RT|iqU83|SC_OPCODE_CHI_INV_MS|Values of the inverse of CHIDIST(x; DegreesOfFreedom).|QYcBk|HID_FUNC_CHIINV_MS||
CHIINV|SqmN5|SC_OPCODE_CHI_INV|Values of the inverse of CHIDIST(x; DegreesOfFreedom).|jbjX5|HID_FUNC_CHIINV|Returns the inverse of the one-tailed probability of the chi-squared distribution.|
FORECAST|8Zckp|SC_OPCODE_FORECAST|Returns a value along a linear regression|A68Mx|HID_FUNC_SCHAETZER|Extrapolates future values based on existing x and y values.|
LOGEST|TCCBq|SC_OPCODE_LOGEST|Calculates the parameters of the exponential regression curve as an array.|VZFRY|HID_FUNC_RKP|This function calculates the adjustment of the entered data as an exponential regression curve (y=b*m^x).UFI: see http://support.microsoft.com/default.aspx?kbid=828528&amp;product=xl2003for bug #i31051#|
LINEST|wPMCy|SC_OPCODE_LINEST|Calculates parameters of the linear regression as an array.|64DGM|HID_FUNC_RGP|Returns a table of statistics for a straight line that best fits a data set.changed based on http://wiki.documentfoundation.org/Documentation/How_Tos/Calc:_LINEST_function (issue 76142)|
GROWTH|swew9|SC_OPCODE_GROWTH|Calculates points on the exponential regression function.|yhD7j|HID_FUNC_VARIATION|Calculates the points of an exponential trend in an array.|
TREND|kVWH4|SC_OPCODE_TREND|Calculates points along a regression line.|FpDCi|HID_FUNC_TREND|Returns values along a linear trend.|
INTERCEPT|67rvU|SC_OPCODE_INTERCEPT|Returns the intercept of the linear regression line and the Y axis.|w3Fyh|HID_FUNC_ACHSENABSCHNITT|Calculates the point at which a line will intersect the y-values by using known x-values and y-values.|
SLOPE|SEZvN|SC_OPCODE_SLOPE|Returns the slope of the linear regression line.|hCEAG|HID_FUNC_STEIGUNG|Returns the slope of the linear regression line. The slope is adapted to the data points set in the y and x values.|
STEYX|RQVvt|SC_OPCODE_STEYX|Returns the standard error of the linear regression.|ZnAXV|HID_FUNC_STFEHLERYX|Returns the standard error of the predicted y value for each x in the regression.|
RSQ|Erd2U|SC_OPCODE_RSQ|Returns the square of the Pearson product moment correlation coefficient.|pVg6V|HID_FUNC_BESTIMMTHEITSMASS|Returns the square of the Pearson correlation coefficient based on the given values. RSQ (also called determination coefficient) is a measure for the accuracy of an adjustment and can be used to produce a regression analysis.|
PEARSON|SMRWW|SC_OPCODE_PEARSON|Returns the Pearson product moment correlation coefficient.|gsTND|HID_FUNC_PEARSON|Returns the Pearson product moment correlation coefficient r.|
COVARIANCE.S|3MZB2|SC_OPCODE_COVARIANCE_S|Calculates the sample covariance.|zsT5a|HID_FUNC_COVARIANCE_S|Returns the covariance of the product of paired deviations, for a sample of the population.|
COVARIANCE.P|jZtYM|SC_OPCODE_COVARIANCE_P|Calculates the population covariance.|gKqme|HID_FUNC_COVARIANCE_P|Returns the covariance of the product of paired deviations, for the entire population.|
COVAR|4xswV|SC_OPCODE_COVAR|Calculates the population covariance.|vyY3x|HID_FUNC_KOVAR|Returns the covariance of the product of paired deviations.|
CORREL|FjgDk|SC_OPCODE_CORREL|Returns the correlation coefficient.|6kXqE|HID_FUNC_KORREL|Returns the correlation coefficient between two data sets.|
PROB|F6wkB|SC_OPCODE_PROB|Returns the discrete probability of an interval.|nKPux|HID_FUNC_WAHRSCHBEREICH|Returns the probability that values in a range are between two limits. If there is no End value, this function calculates the probability based on the principle that the Data values are equal to the value of Start.|
TRIMMEAN|qHxRa|SC_OPCODE_TRIM_MEAN|Returns the mean of a sample without including the marginal values.|82M23|HID_FUNC_GESTUTZTMITTEL|Returns the mean of a data set without the Alpha percent of data at the margins.|
F.TEST|QNR53|SC_OPCODE_F_TEST_MS|Calculates the F test.|mzJDV|HID_FUNC_F_TEST_MS|Returns the result of an F test.|
FTEST|CjLQQ|SC_OPCODE_F_TEST|Calculates the F test.|dePC4|HID_FUNC_FTEST|Returns the result of an F test.|
CONFIDENCE.T|C8y9D|SC_OPCODE_CONFIDENCE_T|Returns a (1 alpha) confidence interval for a Student's t distribution.|eF2DV|HID_FUNC_CONFIDENCE_T|Returns the (1-alpha) confidence interval for a Student's t distribution.|
CONFIDENCE.NORM|HQJrV|SC_OPCODE_CONFIDENCE_N|Returns a (1 alpha) confidence interval for a normal distribution.|ntaye|HID_FUNC_CONFIDENCE_N|Returns the (1-alpha) confidence interval for a normal distribution.|
CONFIDENCE|Bh3Lc|SC_OPCODE_CONFIDENCE|Returns a (1 alpha) confidence interval for a normal distribution.|wQDRQ|HID_FUNC_KONFIDENZ|Returns the (1-alpha) confidence interval for a normal distribution.|
NORM.INV|8JgrV|SC_OPCODE_NORM_INV_MS|Values of the inverse normal distribution.|8sndF|HID_FUNC_NORMINV_MS|Returns the inverse of the normal cumulative distribution.|
NORMINV|FvSZv|SC_OPCODE_NORM_INV|Values of the inverse normal distribution.|wbkhD|HID_FUNC_NORMINV|Returns the inverse of the normal cumulative distribution.|
QUARTILE|Apn3N|SC_OPCODE_QUARTILE|Returns the quartile of a sample.|PVcfy|HID_FUNC_QUARTILE|Returns the quartile of a data set.|
FREQUENCY|foFR3|SC_OPCODE_FREQUENCY|Returns a frequency distribution as a vertical array.|BELFH|HID_FUNC_HAEUFIGKEIT|Indicates the frequency distribution in a one-column-array. The function counts the number of values in the Data array that are within the values given by the Classes array.|
SMALL|gXHVi|SC_OPCODE_SMALL|Returns the k-th smallest value of a sample.|G9oGc|HID_FUNC_KKLEINSTE|Returns the Rank_c-th smallest value in a data set.|
LARGE|7rfBB|SC_OPCODE_LARGE|Returns the k-th largest value of a sample.|hCGu4|HID_FUNC_KGROESSTE|Returns the Rank_c-th largest value in a data set.|
RANK.AVG|nDoCs|SC_OPCODE_RANK_AVG|Returns the ranking of a value in a sample; if more than one value has the same rank, the average rank is returned.|i4MnC|HID_FUNC_RANK_AVG|Returns the statistical rank of a given value, within a supplied array of values. If there are duplicate values in the list, the average rank is returned.The difference between RANK.AVG and RANK.EQ occurs when there are duplicates in the list of values. The RANK.EQ function returns the lower rank, whereas the RANK.AVG function returns the average rank.|
QUARTILE.EXC|oWBz5|SC_OPCODE_QUARTILE_EXC|Returns the quartile of a sample.|Dr7qs|HID_FUNC_QUARTILE_EXC|Returns a requested quartile of a supplied range of values, based on a percentile range of 0 to 1 exclusive.The difference between QUARTILE.INC and QUARTILE.EXC is that the QUARTILE.INC function bases its calculation on a percentile range of 0 to 1 inclusive, whereas the QUARTILE.EXC function bases its calculation on a percentile range of 0 to 1 exclusive.|
PERCENTRANK.EXC|Sb9AK|SC_OPCODE_PERCENT_RANK_EXC|Returns the percentage rank (0..1, exclusive) of a value in a sample.|8CxCm|HID_FUNC_PERCENTRANK_EXC|Returns the relative position, between 0 and 1 (exclusive), of a specified value within a supplied array.The difference between PERCENTRANK.INC and PERCENTRANK.EXC is that PERCENTRANK.INC calculates a value in the range 0 to 1 inclusive, whereas the PERCENTRANK.EXC function calculates a value in the range 0 to 1 exclusive.|
PERCENTILE.EXC|XLPgV|SC_OPCODE_PERCENTILE_EXC|Returns the alpha percentile of a sample.|XPsFE|HID_FUNC_PERCENTILE_EXC|Returns the Alpha'th percentile of a supplied range of values for a given value of Alpha, within the range 0 to 1 (exclusive). A percentile returns the scale value for a data series which goes from the smallest (Alpha=0) to the largest value (Alpha=1) of a data series. For Alpha = 25%, the percentile means the first quartile; Alpha = 50% is the MEDIAN.If Alpha is not a multiple of 1/(n+1), (where n is the number of values in the supplied array), the function interpolates between the values in the supplied array, to calculate the percentile value. However, if Alpha is less than 1/(n+1) or Alpha is greater than n/(n+1), the function is unable to interpolate, and so returns an error.The difference between PERCENTILE.INC and PERCENTILE.EXC is that, in the PERCENTILE.INC function the value of alpha is is within the range 0 to 1 inclusive, and in the PERCENTILE.EXC function, the value of alpha is within the range 0 to 1 exclusive.|
RANK.EQ|6UPAR|SC_OPCODE_RANK_EQ|Returns the ranking of a value in a sample; if more than one value has the same rank, the top rank of that set of values is returned.|X5B3x|HID_FUNC_RANK_EQ|Returns the statistical rank of a given value, within a supplied array of values. If there are duplicate values in the list, these are given the same rank.The difference between RANK.AVG and RANK.EQ occurs when there are duplicates in the list of values. The RANK.EQ function returns the lower rank, whereas the RANK.AVG function returns the average rank.|
QUARTILE.INC|uLGu3|SC_OPCODE_QUARTILE_INC|Returns the quartile of a sample.|CWHCa|HID_FUNC_QUARTILE_INC|Returns the quartile of a data set.The difference between QUARTILE.INC and QUARTILE.EXC is that the QUARTILE.INC function bases its calculation on a percentile range of 0 to 1 inclusive, whereas the QUARTILE.EXC function bases its calculation on a percentile range of 0 to 1 exclusive.|
PERCENTRANK.INC|5zsNM|SC_OPCODE_PERCENT_RANK_INC|Returns the percentage rank (0..1, inclusive) of a value in a sample.|NoS7f|HID_FUNC_PERCENTRANK_INC|Returns the relative position, between 0 and 1 (inclusive), of a specified value within a supplied array.The difference between PERCENTRANK.INC and PERCENTRANK.EXC is that PERCENTRANK.INC calculates a value in the range 0 to 1 inclusive, whereas the PERCENTRANK.EXC function calculates a value in the range 0 to 1 exclusive.|
PERCENTILE.INC|U2YGf|SC_OPCODE_PERCENTILE_INC|Returns the alpha percentile of a sample.|GkVKE|HID_FUNC_PERCENTILE_INC|Returns the alpha-percentile of data values in an array. A percentile returns the scale value for a data series which goes from the smallest (Alpha=0) to the largest value (alpha=1) of a data series. For Alpha = 25%, the percentile means the first quartile; Alpha = 50% is the MEDIAN.The difference between PERCENTILE.INC and PERCENTILE.EXC is that, in the PERCENTILE.INC function the value of alpha is is within the range 0 to 1 inclusive, and in the PERCENTILE.EXC function, the value of alpha is within the range 0 to 1 exclusive.|
PERCENTRANK|nCwTV|SC_OPCODE_PERCENT_RANK|Returns the percentage rank of a value in a sample.|PWnjw|HID_FUNC_QUANTILSRANG|Returns the percentage rank of a value in a sample.|
PERCENTILE|epFrM|SC_OPCODE_PERCENTILE|Returns the alpha quantile of a sample.|DsEhx|HID_FUNC_QUANTIL|Returns the alpha-percentile of data values in an array. A percentile returns the scale value for a data series which goes from the smallest (Alpha=0) to the largest value (alpha=1) of a data series. For Alpha = 25%, the percentile means the first quartile; Alpha = 50% is the MEDIAN.|
RANK|T6Gdp|SC_OPCODE_RANK|Returns the ranking of a value in a sample.|UNFCa|HID_FUNC_RANG|Returns the rank of a number in a sample.|
T.TEST|RNnCV|SC_OPCODE_T_TEST_MS|Calculates the T test.|vDzaY|HID_FUNC_TTEST_MS|Returns the probability associated with a Student's t-Test.|
TTEST|cWYfZ|SC_OPCODE_T_TEST|Calculates the T test.|pfmGJ|HID_FUNC_TTEST|Returns the probability associated with a Student's t-Test.|
AGGREGATE|3jcFK|SC_OPCODE_AGGREGATE|Calculates an aggregate in a spreadsheet.|PeZXD|HID_FUNC_AGGREGATE||
Z.TEST|RC3LB|SC_OPCODE_Z_TEST_MS|Calculates the probability of observing a z-statistic greater than the one computed based on a sample.|3nUqG|HID_FUNC_Z_TEST_MS|Calculates the probability of observing a z-statistic greater than the one computed based on a sample.|
ZTEST|wRUas|SC_OPCODE_Z_TEST|Calculates the probability of observing a z-statistic greater than the one computed based on a sample.|w9ZEF|HID_FUNC_GTEST|Calculates the probability of observing a z-statistic greater than the one computed based on a sample.|
MODE.MULT|kNZzD|SC_OPCODE_MODAL_VALUE_MULTI|Returns the most common value in a sample.|KRKQS|HID_FUNC_MODAL_VALUE_MULTI|Returns a vertical array of the statistical modes (the most frequently occurring values) within a list of supplied numbers.|
MODE.SNGL|LNKre|SC_OPCODE_MODAL_VALUE_MS|Returns the most common value in a sample.|sfjKV|HID_FUNC_MODAL_VALUE_MS|Returns the most frequently occurring, or repetitive, value in an array or range of data. If there are several values with the same frequency, it returns the smallest value. An error occurs when a value doesn't appear twice.|
MODE|uSC47|SC_OPCODE_MODAL_VALUE|Returns the most common value in a sample.|FTSXU|HID_FUNC_MODALWERT|Returns the most common value in a data set. If there are several values with the same frequency, it returns the smallest value. An error occurs when a value doesn't appear twice.|
MEDIAN|oigFA|SC_OPCODE_MEDIAN|Returns the median of a given sample.|DDkUn|HID_FUNC_MEDIAN|Returns the median of a set of numbers. In a set containing an uneven number of values, the median will be the number in the middle of the set and in a set containing an even number of values, it will be the mean of the two values in the middle of the set.|
DEVSQ|Eb2Zz|SC_OPCODE_DEV_SQ|Returns the sum of squares of deviations from the sample mean value|mNGPN|HID_FUNC_SUMQUADABW|Returns the sum of squares of deviations based on a sample mean.|
SKEWP|pfGng|SC_OPCODE_SKEWP|Returns the skewness of a distribution using the population of a random variable.|PUQfJ|HID_FUNC_SKEWP||
SKEW|5DFqY|SC_OPCODE_SKEW|Returns the skewness of a distribution.|QErrB|HID_FUNC_SCHIEFE|Returns the skewness of a distribution.|
AVEDEV|J8C2k|SC_OPCODE_AVE_DEV|Returns the average of the absolute deviations of a sample from the mean.|KET4K|HID_FUNC_MITTELABW|Returns the average of the absolute deviations of data points from their mean. Displays the diffusion in a data set.|
STANDARDIZE|MCmNF|SC_OPCODE_STANDARD|Converts a random variable to a normalized value.|crR6F|HID_FUNC_STANDARDISIERUNG|Converts a random variable to a normalized value.|
GEOMEAN|JBD4c|SC_OPCODE_GEO_MEAN|Returns the geometric mean of a sample.|RhMtG|HID_FUNC_GEOMITTEL|Returns the geometric mean of a sample.|
HARMEAN|GA7EK|SC_OPCODE_HAR_MEAN|Returns the harmonic mean of a sample.|LACxG|HID_FUNC_HARMITTEL|Returns the harmonic mean of a data set.|
KURT|SFCc4|SC_OPCODE_KURT|Returns the kurtosis of a distribution.|bdcjD|HID_FUNC_KURT|Returns the kurtosis of a data set (at least 4 values required).|
BINOM.INV|WFBQB|SC_OPCODE_BINOM_INV|Returns the smallest value for which the cumulative binomial distribution is greater than or equal to a criterion value.|JQcFV|HID_FUNC_BINOM_INV_MS|Returns the smallest value for which the cumulative binomial distribution is greater than or equal to a criterion value.|
CRITBINOM|XgV8W|SC_OPCODE_CRIT_BINOM|Returns the smallest value for which the cumulative binomial distribution is greater than or equal to a criterion value.|hfFku|HID_FUNC_KRITBINOM|Returns the smallest value for which the cumulative binomial distribution is greater than or equal to a criterion value.|
NEGBINOM.DIST|kksVD|SC_OPCODE_NEG_BINOM_DIST_MS|Values of the negative binomial distribution.|NuXvC|HID_FUNC_NEGBINOMDIST_MS|Returns the negative binomial density or distribution function.|
NEGBINOMDIST|7PSNU|SC_OPCODE_NEG_BINOM_VERT|Values of the negative binomial distribution.|WK94S|HID_FUNC_NEGBINOMVERT|Returns the negative binomial distribution.|
WEIBULL.DIST|eUGHh|SC_OPCODE_WEIBULL_MS|Returns the values of the Weibull distribution.|MfC7c|HID_FUNC_WEIBULL_DIST_MS|Returns the values of the Weibull distribution.The Weibull distribution is a continuous probability distribution, with parameters Alpha &gt; 0 (shape) and Beta &gt; 0 (scale). If C is 0, WEIBULL.DIST calculates the probability density function.If C is 1, WEIBULL.DIST calculates the cumulative distribution function.|
WEIBULL|RkvE3|SC_OPCODE_WEIBULL|Returns the values of the Weibull distribution.|8kjCL|HID_FUNC_WEIBULL|Returns the values of the Weibull distribution.The Weibull distribution is a continuous probability distribution, with parameters Alpha &gt; 0 (shape) and Beta &gt; 0 (scale). If C is 0, WEIBULL calculates the probability density function.If C is 1, WEIBULL calculates the cumulative distribution function.         <paragraph xml-lang="en-US" id="hd_id3159393" role="heading" level="3" l10n="U"|
CHISQ.DIST.RT|E6EDq|SC_OPCODE_CHI_DIST_MS|Returns the right-tail probability of the chi-square distribution.|mQj6j|HID_FUNC_CHIVERT_MS||
CHIDIST|dYBYM|SC_OPCODE_CHI_DIST|Returns the right-tail probability of the chi-square distribution.|t5DR7|HID_FUNC_CHIVERT|Returns the probability value from the indicated Chi square that a hypothesis is confirmed. CHIDIST compares the Chi square value to be given for a random sample that is calculated from the sum of (observed value-expected value)^2/expected value for all values with the theoretical Chi square distribution and determines from this the probability of error for the hypothesis to be tested.The probability determined by CHIDIST can also be determined by CHITEST.|
F.DIST.RT|6z2D9|SC_OPCODE_F_DIST_RT|Values of the right tail F probability distribution.|2eDJN|HID_FUNC_F_DIST_RT|Calculates the values of the right tail of the F distribution.|
F.DIST|dmRFE|SC_OPCODE_F_DIST_LT|Values of the left tail F probability distribution.|E42MZ|HID_FUNC_F_DIST_LT|Calculates the values of the left tail of the F distribution.|
FDIST|dmAuA|SC_OPCODE_F_DIST|Values of the F probability distribution.|2X79n|HID_FUNC_FVERT|Calculates the values of an F distribution.|
